,5,count,cited,3
0,PLOS ONE,52807,37516,138769
1,ChemInform,45075,96,106
2,Applied Mechanics and Materials,44484,3926,6086
3,Scientific Reports,36015,28209,163886
4,PLoS ONE,31908,29001,229986
5,RSC Adv.,30638,25130,131938
6,Advanced Materials Research,30540,3149,4849
7,Cancer Research,23532,2895,19532
8,Journal of Physics: Conference Series,17402,4704,9240
9,Journal of the American College of Cardiology,16225,2882,39625
10,Physical Review B,15424,13283,96614
11,Procedia - Social and Behavioral Sciences,14140,3773,6917
12,Gastroenterology,14117,2046,22343
13,Value in Health,13712,990,2596
14,Science,13214,4671,152668
15,Annals of the Rheumatic Diseases,12579,1547,12056
16,Biophysical Journal,12369,2013,10499
17,The Journal of Urology,11811,1913,12073
18,Applied Physics Letters,11711,10078,71235
19,Procedia Engineering,11563,4487,9597
20,Proceedings of the National Academy of Sciences,11463,10377,154526
21,BMJ,10841,2917,22966
22,Physical Review D,10638,9190,74072
23,The Astrophysical Journal,10628,9593,102612
24,ACS Applied Materials & Interfaces,10274,9595,122247
25,The Journal of Physical Chemistry C,10042,9024,77677
26,Oncotarget,10010,4846,25203
27,Journal of Applied Physics,9947,8007,39313
28,Nature Communications,9880,9269,161031
29,Journal of Alloys and Compounds,9573,8650,59466
30,Optics Express,9569,8031,48873
31,International Journal of Computer Applications,9548,1123,1569
32,Annals of Oncology,9517,1603,15837
33,Nature,9399,5439,168609
34,Monthly Notices of the Royal Astronomical Society,9296,7942,72428
35,Medical Physics,9214,1840,7540
36,The Journal of the Acoustical Society of America,9147,1862,5723
37,International Journal of Radiation Oncology*Biology*Physics,9086,1914,11435
38,BioMed Research International,8965,6125,26119
39,Angewandte Chemie,8931,5460,42395
40,Angewandte Chemie International Edition,8916,6798,149065
41,Chem. Commun.,8551,8053,89515
42,Journal of Clinical Oncology,8444,2713,43193
43,Phys. Chem. Chem. Phys.,8286,7211,48265
44,Physical Review A,8150,6718,38636
45,Key Engineering Materials,8092,1366,2139
46,Physical Review Letters,8046,7523,116931
47,Journal of Biological Chemistry,7856,6691,44875
48,Chemistry - A European Journal,7765,5615,58002
49,Journal of the American Chemical Society,7730,7441,190405
50,Materials Science Forum,7689,1456,2640
51,Radiotherapy and Oncology,7643,1029,6946
52,The Journal of Chemical Physics,7619,6475,39611
53,Academy of Management Proceedings,7592,282,315
54,Energy Procedia,7561,4576,14193
55,Applied Surface Science,7470,6632,48382
56,Medicine & Science in Sports & Exercise,7437,807,5723
57,Physical Review E,7377,5792,29014
58,Indian Journal of Science and Technology,7218,591,755
59,Procedia Computer Science,7218,3005,6987
60,Alzheimer's & Dementia,7084,700,6217
61,Electrochimica Acta,7046,6462,57244
62,Endocrine Abstracts,6918,34,36
63,Ceramics International,6917,6089,37331
64,Acta Horticulturae,6742,1029,1475
65,Zootaxa,6713,2355,4930
66,International Journal of Cardiology,6669,4472,19922
67,Critical Care Medicine,6647,1468,12327
68,International Journal of Hydrogen Energy,6584,5812,41576
69,IOP Conference Series: Materials Science and Engineering,6436,1303,2347
70,Chest,6420,1199,8111
71,Journal of High Energy Physics,6409,5804,60455
72,Nanoscale,6344,5961,80300
73,European Journal of Cancer,6252,1210,9481
74,European Psychiatry,6216,457,1868
75,The Lancet,6157,3306,69826
76,Medicine,6087,3520,10614
77,Journal of Hepatology,6038,1729,18038
78,Frontiers in Psychology,6000,3875,16096
79,J. Mater. Chem. A,5982,5762,86311
80,Environmental Science and Pollution Research,5817,4149,18548
81,Science of The Total Environment,5814,5282,44146
82,Journal of Power Sources,5797,5236,69703
83,Open Forum Infectious Diseases,5780,419,1425
84,Gastrointestinal Endoscopy,5682,1367,7048
85,Journal of Hypertension,5663,1006,5280
86,Materials Letters,5648,4886,26675
87,European Urology Supplements,5611,242,332
88,Journal of Evolution of Medical and Dental Sciences,5604,99,110
89,MATEC Web of Conferences,5588,478,792
90,Mathematical Problems in Engineering,5526,2294,4757
91,Biochemical and Biophysical Research Communications,5479,4353,19843
92,Mediterranean Journal of Social Sciences,5462,150,170
93,Astronomy & Astrophysics,5439,4821,51260
94,IFAC-PapersOnLine,5408,1436,2396
95,International Journal of Molecular Sciences,5344,4262,24257
96,Neuro-Oncology,5329,739,5407
97,Dalton Trans.,5308,4726,33722
98,Journal of Vision,5296,885,2416
99,Sensors,5182,3883,20162
100,Environmental Science & Technology,5176,4734,52438
101,Food Chemistry,5174,4830,44951
102,EPJ Web of Conferences,5146,1193,2357
103,JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH,5091,567,694
104,Analytical Chemistry,5075,4719,55486
105,Journal of Nanoscience and Nanotechnology,5067,2286,7011
106,Langmuir,5040,4578,35118
107,Organic Letters,4950,4740,60833
108,Fertility and Sterility,4851,1508,9963
109,Nursing Standard,4833,212,339
110,Industrial & Engineering Chemistry Research,4756,4043,25952
111,Optics Letters,4755,4035,24922
112,Nephrology Dialysis Transplantation,4730,839,5326
113,Journal of Allergy and Clinical Immunology,4704,1800,21388
114,Sensors and Actuators B: Chemical,4653,4392,46009
115,Bioresource Technology,4651,4367,45605
116,JAMA,4629,2268,46513
117,Tetrahedron Letters,4621,4076,20495
118,Optik - International Journal for Light and Electron Optics,4602,2512,7509
119,International Journal of Research in Engineering and Technology,4589,364,476
120,BMJ Open,4583,3253,14522
121,American Journal of Obstetrics and Gynecology,4572,1487,9334
122,The Journal of Physical Chemistry B,4557,3978,25570
123,kma - Das Gesundheitswirtschaftsmagazin,4546,0,0
124,Genetics and Molecular Research,4540,1954,3979
125,Journal of Materials Science: Materials in Electronics,4498,2686,7610
126,Archives of Disease in Childhood,4495,724,2988
127,Construction and Building Materials,4485,3764,22941
128,Applied Optics,4483,3056,10405
129,Molecules,4457,3536,18329
130,Frontiers in Microbiology,4448,3451,19132
131,Inorganic Chemistry,4431,4090,38116
132,The Scientific World Journal,4427,2753,8808
133,Chemical Engineering Journal,4371,4200,48195
134,The International Journal of Advanced Manufacturing Technology,4333,2670,10018
135,Energy,4319,3919,34663
136,Atherosclerosis,4318,1443,9684
137,Toxicology Letters,4300,885,5692
138,RSC Advances,4262,4140,41606
139,Journal of Cleaner Production,4247,3876,34984
140,Journal of Animal Science,4235,1064,3358
141,Planta Medica,4201,577,1659
142,Molecular Medicine Reports,4178,1038,1415
143,The Journal of Organic Chemistry,4151,3856,35970
144,Plastic and Reconstructive Surgery,4133,1739,8256
